,Evolution_pop,Ratio_Animal,DA_pro,DA_cal,Valeur_PIB,cluster
1,1.748382473325121,0.3051705405533236,61.693461538461534,2398.1153846153848,5042.188461538462,1
2,3.006708234408707,0.21662890368677215,65.6809090909091,2652.2727272727275,4075.445454545454,2
3,2.7347796020964603,0.17788356573021785,53.393125,2202.875,1655.3374999999999,3
4,1.7053627416479027,0.2845060851932399,99.966,3454.6,12458.719999999998,4
5,1.7140157280553108,0.38877412490631574,81.67833333333334,2841.5555555555557,8401.744444444445,5
6,-0.12769715664959905,0.5105800123436224,86.58599999999998,2970.65,18879.895,6
7,0.9410401362312276,0.5293031802728019,73.90304347826088,2688.8260869565215,14383.295652173912,7
8,0.6369238424277306,0.6217519325688392,111.72117647058825,3456.0,41869.25882352941,8
9,-0.16441395218105662,0.549542961774465,104.39600000000002,3344.0666666666666,24340.20666666667,9
10,1.4757177990210808,0.6184388795615912,101.798,3125.0,20963.659999999996,10
11,5.452987823339338,0.3546667922633039,79.65,3082.5,11578.650000000001,11
12,5.918043221738773,0.5063723987613298,98.245,3322.0,58004.65,12
13,1.5897183877314387,0.5452753252380426,101.255,3322.8333333333335,66730.76666666668,13
14,2.2471480842802096,0.6443108720868923,94.83,2915.0,135319.0,14
